CODIGO,CODIGO_CORTO,ID_ESTACION,ESTACION,DIRECCION,LONGITUD_ETRS89,LATITUD_ETRS89,COD_TIPO,NOM_TIPO,NO2,SO2,CO,PM10,PM2_5,O3,BTX,COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,Fecha alta,COORDENADA_X_ETRS89,COORDENADA_Y_ETRS89,LONGITUD,LATITUD,ALTITUD
28079004,4,mad-air-04,Plaza de España,Plaza de España,"3°42'43.91""O","40°25'25.98""N",UT,Urbana tráfico,X,X,X,,,,,273600,PLAZA,DE,ESPAÑA,1998-01-12T00:00:00Z,439579.3291,4475049.263,-3.7122567,40.4238823,637
28079008,8,mad-air-08,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell,"3°40'56.22""O","40°25'17.63""N",UT,Urbana tráfico,X,X,X,X,X,X,X,18900,CALLE,DE,ALCALA,1998-01-12T00:00:00Z,442117.2366,4474770.696,-3.6823158,40.4215533,672
28079011,11,mad-air-11,Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,"3°40'38.50""O","40°27'5.29""N",UT,Urbana tráfico,X,,,,,,X,610450,CALLE,DEL,PRINCIPE DE VERGARA,1998-01-12T00:00:00Z,442564.0457,4478088.595,-3.6773491,40.4514734,709
28079016,16,mad-air-16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos,"3°38'21.17""O","40°26'24.20""N",UF,Urbana fondo,X,,,,,X,,798700,CALLE,DEL,VIZCONDE DE LOS ASILOS,1998-01-12T00:00:00Z,445786.1729,4476796.019,-3.6392422,40.4400457,695
28079017,17,mad-air-17,Villaverde,C/ Juan Peñalver,"3°42'47.89""O","40°20'49.74""N",UF,Urbana fondo,X,,,,,X,,417200,CALLE,DE,JUAN PEÑALVER,1998-01-12T00:00:00Z,439420.7015,4466532.455,-3.7133167,40.347147,601
28079018,18,mad-air-18,Farolillo,C/ Farolillo - C/ Ervigio,"3°43'54.61""O","40°23'41.22""N",UF,Urbana fondo,X,,,X,,X,X,1903,CALLE,DEL,FAROLILLO,2001-03-31T00:00:00Z,437891.6961,4471832.769,-3.7318356,40.3947825,625
28079024,24,mad-air-24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N",S,Suburbana,X,,,X,X,X,,905219,CARRETERA,DEL,TELEFERICO,1998-01-12T00:00:00Z,436598.5637,4474571.618,-3.7473445,40.4193577,645
28079027,27,mad-air-27,Barajas Pueblo,"C/ Júpiter, 21","3°34'48.10""O","40°28'36.93""N",UF,Urbana fondo,X,,,,,X,,425700,CALLE,DE,JUPITER,2002-12-31T00:00:00Z,450835.2026,4480854.172,-3.5800258,40.4769179,619
28079035,35,mad-air-35,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces,"3°42'11.40""O","40°25'9.15""N",UF,Urbana fondo,X,X,X,,,X,,145800,PLAZA,DEL,CARMEN,1999-01-11T00:00:00Z,440346.3619,4474524.357,-3.7031662,40.4192091,660
28079036,36,mad-air-36,Moratalaz,Avda. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N",UT,Urbana tráfico,X,X,,X,,,,522000,AVENIDA,DE,MORATALAZ,1998-01-12T00:00:00Z,445245.513,4473237.349,-3.6453104,40.4079517,671
28079038,38,mad-air-38,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N",UT,Urbana tráfico,X,,,X,X,,X,554550,AVENIDA,DE,PABLO IGLESIAS,1998-01-11T00:00:00Z,440033.4632,4477450.211,-3.7071303,40.4455439,699
28079039,39,mad-air-39,Barrio del Pilar,Avda. Betanzos esq. C/  Monforte de Lemos,"3°42'41.53""O","40°28'41.64""N",UT,Urbana tráfico,X,,,,,X,,514425,AVENIDA,DE,MONFORTE DE LEMOS,1998-01-05T00:00:00Z,439689.0496,4481081.619,-3.7115364,40.4782322,675
28079040,40,mad-air-40,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande.,"3°39'5.50""O","40°23'17.33""N",UF,Urbana fondo,X,,,X,,,,75500,CALLE,DEL,ARROYO DEL OLIVAR,1999-09-30T00:00:00Z,444701.6871,4471043.01,-3.6515286,40.3881478,678
28079047,47,mad-air-47,Méndez Álvaro,C/ Juan de Mariana / Plaza Amanecer Méndez Álvaro,"3°41'12.57""O","40°23'53.17""N",UF,Urbana fondo,X,,,X,X,,,414800,CALLE,DE,JUAN DE MARIANA,2009-12-21T00:00:00Z,441715.4303,4472170.249,-3.6868138,40.3980991,600
28079048,48,mad-air-48,Castellana,C/ José Gutiérrez Abascal,"3°41'25.34""O","40°26'23.61""N",UT,Urbana tráfico,X,,,X,X,,,401400,CALLE,DE,JOSE GUTIERREZ ABASCAL,2010-01-02T00:00:00Z,441449.6341,4476811.42,-3.6903729,40.4398904,678
28079049,49,mad-air-49,Parque del Retiro,Paseo Venezuela- Palacio de Velázquez,3º 40' 57''O,40º 24' 52''N,UF,Urbana fondo,X,,,,,X,,905011,PASEO,DE,VENEZUELA,2010-01-01T00:00:00Z,442095.52,4473981.74,-3.6824999,40.4144444,658
28079050,50,mad-air-50,Plaza Castilla,Plaza Castilla (Canal),"3°41'19.48""O","40°27'56.10""N",UT,Urbana tráfico,X,,,X,X,,,154500,PLAZA,DE,CASTILLA,2010-01-02T00:00:00Z,441609.9474,4479662.346,-3.6887449,40.4655841,730
28079054,54,mad-air-54,Ensanche de Vallecas,Avda. La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N",UF,Urbana fondo,X,,,,,X,,31000516,AVENIDA,DE,LA GAVIA,2009-11-12T00:00:00Z,448033.2263,4469339.044,-3.6121394,40.3730118,628
28079055,55,mad-air-55,Urb. Embajada,C/ Riaño (Barajas),"3°34'50.03""O","40°27'44.51""N",UF,Urbana fondo,X,,,X,,,X,639250,CALLE,DE,RIAÑO,2010-01-20T00:00:00Z,450778.8839,4479238.863,-3.5805649,40.4623628,614
28079056,56,mad-air-56,Plaza Elíptica,Plaza Elíptica - Avda. Oporto,"3°43'7.54""O","40°23'6.10""N",UT,Urbana tráfico,X,,X,X,X,,,293200,PLAZA,,ELIPTICA,2010-01-18T00:00:00Z,438991.9161,4470741.548,-3.7187679,40.3850336,605
28079057,57,mad-air-57,Sanchinarro,C/ Princesa de Éboli esq. C/ María Tudor,"3°39'37.86""O","40°29'39.12""N",UF,Urbana fondo,X,,,X,X,,,31000002,CALLE,DE LA,PRINCESA DE EBOLI,2009-11-23T00:00:00Z,444026.808,4482820.581,-3.6605173,40.4942012,700
28079058,58,mad-air-58,El Pardo,Avda. La Guardia,"3°46'28.62""O","40°31'4.97""N",S,Suburbana,X,,,,,X,,348500,AVENIDA,DE LA,GUARDIA,2009-01-12T00:00:00Z,434381.6,4485548.7,-3.7746101,40.5180701,611
28079059,59,mad-air-59,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),3°36'32.51''O,40°27'54.52''N,S,Suburbana,X,,,,,X,,1111,PARQUE,DE,JUAN CARLOS I,2009-12-14T00:00:00Z,448367.6,4479563.83,-3.609031,40.465144,660
28079060,60,mad-air-60,Tres Olivos,Plaza Tres Olivos,"3°41'23.03""O","40°30'1.97""N",UF,Urbana fondo,X,,,X,,X,,1427,PLAZA,DE LOS,TRES OLIVOS,2010-08-02T00:00:00Z,441556.7005,4483543.994,-3.6897308,40.5005477,709
