FECHA INICIO,FECHA FIN,EPISODIO OZONO,MEDIDA POBLACION
2013-03-07T18:00:00Z,2013-03-07T20:00:00Z,1,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2013-03-07T18:00:00Z,2013-03-07T20:00:00Z,1,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2013-07-07T17:00:00Z,2013-07-07T22:00:00Z,2,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2013-07-07T17:00:00Z,2013-07-07T22:00:00Z,2,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2013-08-07T17:00:00Z,2013-08-07T22:00:00Z,3,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2013-08-07T17:00:00Z,2013-08-07T22:00:00Z,3,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2013-09-07T16:00:00Z,2013-09-07T18:00:00Z,4,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2013-09-07T16:00:00Z,2013-09-07T18:00:00Z,4,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2014-07-26T14:00:00Z,2014-07-26T17:00:00Z,5,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2014-07-26T14:00:00Z,2014-07-26T17:00:00Z,5,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2014-07-27T16:00:00Z,2014-07-27T20:00:00Z,6,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2014-07-27T16:00:00Z,2014-07-27T20:00:00Z,6,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2014-05-08T18:00:00Z,2014-05-08T19:00:00Z,7,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2014-05-08T18:00:00Z,2014-05-08T19:00:00Z,7,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-06-27T15:00:00Z,2015-06-27T17:00:00Z,8,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-06-27T15:00:00Z,2015-06-27T17:00:00Z,8,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-06-29T15:00:00Z,2015-06-19T16:00:00Z,9,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-06-29T15:00:00Z,2015-06-19T16:00:00Z,9,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-09-07T17:00:00Z,2015-09-07T18:00:00Z,10,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-09-07T17:00:00Z,2015-09-07T18:00:00Z,10,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-11-07T16:00:00Z,2015-11-07T20:00:00Z,11,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-11-07T16:00:00Z,2015-11-07T20:00:00Z,11,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-12-07T16:00:00Z,2015-12-07T18:00:00Z,12,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-12-07T16:00:00Z,2015-12-07T18:00:00Z,12,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-07-13T17:00:00Z,2015-07-13T22:00:00Z,13,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-07-13T17:00:00Z,2015-07-13T22:00:00Z,13,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-07-14T16:00:00Z,2015-07-14T22:00:00Z,14,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-07-14T16:00:00Z,2015-07-14T22:00:00Z,14,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2015-07-15T15:00:00Z,2015-07-15T22:00:00Z,15,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2015-07-15T15:00:00Z,2015-07-15T22:00:00Z,15,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2016-06-27T19:00:00Z,2016-06-27T22:00:00Z,16,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2016-06-27T19:00:00Z,2016-06-27T22:00:00Z,16,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2016-05-07T17:00:00Z,2016-05-07T18:00:00Z,17,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2016-05-07T17:00:00Z,2016-05-07T18:00:00Z,17,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2016-06-07T17:00:00Z,2016-06-07T20:00:00Z,18,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2016-06-07T17:00:00Z,2016-06-07T20:00:00Z,18,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2017-06-16T17:00:00Z,2017-06-16T20:00:00Z,19,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2017-06-16T17:00:00Z,2017-06-16T20:00:00Z,19,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2017-07-15T19:00:00Z,2017-07-15T22:00:00Z,20,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2017-07-15T19:00:00Z,2017-07-15T22:00:00Z,20,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2018-06-25T18:00:00Z,2018-06-25T19:00:00Z,21,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2018-06-25T18:00:00Z,2018-06-25T19:00:00Z,21,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2018-08-26T16:00:00Z,2018-08-26T18:00:00Z,22,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2018-08-26T16:00:00Z,2018-08-26T18:00:00Z,22,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2018-01-08T19:00:00Z,2018-01-08T21:00:00Z,23,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2018-01-08T19:00:00Z,2018-01-08T21:00:00Z,23,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2019-11-07T16:00:00Z,2019-11-07T19:00:00Z,24,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2019-11-07T16:00:00Z,2019-11-07T19:00:00Z,24,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2019-07-18T18:00:00Z,2019-07-18T20:00:00Z,25,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2019-07-18T18:00:00Z,2019-07-18T20:00:00Z,25,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2022-07-13T15:00:00Z,2022-07-13T20:00:00Z,26,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-06-23T18:00:00Z,2023-06-23T21:00:00Z,27,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-06-23T18:00:00Z,2023-06-23T21:00:00Z,27,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2023-06-24T18:00:00Z,2023-06-24T21:00:00Z,28,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-06-24T18:00:00Z,2023-06-24T21:00:00Z,28,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2023-06-25T14:00:00Z,2023-06-25T15:00:00Z,29,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-06-25T14:00:00Z,2023-06-25T15:00:00Z,29,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2023-06-26T15:00:00Z,2023-06-26T17:00:00Z,30,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-06-26T15:00:00Z,2023-06-26T17:00:00Z,30,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2023-06-27T17:00:00Z,2023-06-27T21:00:00Z,31,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-06-27T17:00:00Z,2023-06-27T21:00:00Z,31,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2023-06-28T17:00:00Z,2023-06-28T20:00:00Z,32,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-06-28T17:00:00Z,2023-06-28T20:00:00Z,32,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2023-01-08T16:00:00Z,2023-01-08T20:00:00Z,33,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-01-08T16:00:00Z,2023-01-08T20:00:00Z,33,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2023-11-08T17:00:00Z,2023-11-08T19:00:00Z,34,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2023-11-08T17:00:00Z,2023-11-08T19:00:00Z,34,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2024-04-07T16:00:00Z,2024-04-07T23:00:00Z,35,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2024-04-07T16:00:00Z,2024-04-07T23:00:00Z,35,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2024-12-07T16:00:00Z,2024-12-07T18:00:00Z,36,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2024-12-07T16:00:00Z,2024-12-07T18:00:00Z,36,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2024-07-24T15:00:00Z,2024-07-24T18:00:00Z,37,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2024-07-24T15:00:00Z,2024-07-24T18:00:00Z,37,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2024-07-25T14:00:00Z,2024-07-25T19:00:00Z,38,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2024-07-25T14:00:00Z,2024-07-25T19:00:00Z,38,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2024-07-26T16:00:00Z,2024-07-26T21:00:00Z,39,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2024-07-26T16:00:00Z,2024-07-26T21:00:00Z,39,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2024-07-27T16:00:00Z,2024-07-27T17:00:00Z,40,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2024-07-27T16:00:00Z,2024-07-27T17:00:00Z,40,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2024-01-08T15:00:00Z,2024-01-08T16:00:00Z,41,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2024-01-08T15:00:00Z,2024-01-08T16:00:00Z,41,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-05-29T19:00:00Z,2025-05-29T21:00:00Z,42,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-05-29T19:00:00Z,2025-05-29T21:00:00Z,42,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-09-06T16:00:00Z,2025-09-06T18:00:00Z,43,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-09-06T16:00:00Z,2025-09-06T18:00:00Z,43,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-06-17T15:00:00Z,2025-06-17T16:00:00Z,44,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-06-17T15:00:00Z,2025-06-17T16:00:00Z,44,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-06-26T18:00:00Z,2025-06-26T22:00:00Z,45,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-06-26T18:00:00Z,2025-06-26T22:00:00Z,45,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-06-27T17:00:00Z,2025-06-27T20:00:00Z,46,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-06-27T17:00:00Z,2025-06-27T20:00:00Z,46,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-06-28T19:00:00Z,2025-06-28T21:00:00Z,47,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-06-28T19:00:00Z,2025-06-28T21:00:00Z,47,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-02-07T15:00:00Z,2025-02-07T17:00:00Z,48,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-02-07T15:00:00Z,2025-02-07T17:00:00Z,48,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-07-16T16:00:00Z,2025-07-16T19:00:00Z,49,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-07-16T16:00:00Z,2025-07-16T19:00:00Z,49,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-07-21T19:00:00Z,2025-07-21T21:00:00Z,50,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-07-21T19:00:00Z,2025-07-21T21:00:00Z,50,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-05-08T15:00:00Z,2025-05-08T16:00:00Z,51,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-05-08T15:00:00Z,2025-05-08T16:00:00Z,51,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
2025-07-08T15:00:00Z,2025-07-08T17:00:00Z,52,"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
2025-07-08T15:00:00Z,2025-07-08T17:00:00Z,52,"COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS"
