year,month,zone,intensity
2024,Enero,Interior 1er  cinturón,103019
,,En el 1er  cinturón,231233
,,Entre 1er y 2º cinturón,350079
,,En el 2er  cinturón,196928
,,Entre  2º cinturón y M-30,411976
,,M-30,205079
,,Entre M-30 y M-40,311273
,,Exterior a M-40,25776
2024,Febrero,Interior 1er  cinturón,105578
,,En el 1er  cinturón,239172
,,Entre 1er y 2º cinturón,357444
,,En el 2er  cinturón,203746
,,Entre  2º cinturón y M-30,427609
,,M-30,218266
,,Entre M-30 y M-40,316499
,,Exterior a M-40,26204
2024,Marzo,Interior 1er  cinturón,107578
,,En el 1er  cinturón,239024
,,Entre 1er y 2º cinturón,352766
,,En el 2er  cinturón,194529
,,Entre  2º cinturón y M-30,408308
,,M-30,201427
,,Entre M-30 y M-40,303242
,,Exterior a M-40,25117
2024,Abril,Interior 1er  cinturón,108532
,,En el 1er  cinturón,249727
,,Entre 1er y 2º cinturón,367178
,,En el 2er  cinturón,209909
,,Entre  2º cinturón y M-30,440596
,,M-30,218867
,,Entre M-30 y M-40,320078
,,Exterior a M-40,26273
2024,Mayo,Interior 1er  cinturón,107020
,,En el 1er  cinturón,239528
,,Entre 1er y 2º cinturón,372802
,,En el 2er  cinturón,205501
,,Entre  2º cinturón y M-30,438740
,,M-30,213818
,,Entre M-30 y M-40,313265
,,Exterior a M-40,26782
2024,Junio,Interior 1er  cinturón,108746
,,En el 1er  cinturón,235710
,,Entre 1er y 2º cinturón,384247
,,En el 2er  cinturón,209560
,,Entre  2º cinturón y M-30,438064
,,M-30,218942
,,Entre M-30 y M-40,319435
,,Exterior a M-40,26802
2024,Julio,Interior 1er  cinturón,105790
,,En el 1er  cinturón,223399
,,Entre 1er y 2º cinturón,363403
,,En el 2er  cinturón,186920
,,Entre  2º cinturón y M-30,390196
,,M-30,200654
,,Entre M-30 y M-40,285863
,,Exterior a M-40,23889
2024,Agosto,Interior 1er  cinturón,89698
,,En el 1er  cinturón,153248
,,Entre 1er y 2º cinturón,258526
,,En el 2er  cinturón,131767
,,Entre  2º cinturón y M-30,262835
,,M-30,170096
,,Entre M-30 y M-40,222175
,,Exterior a M-40,18842
2024,Septiembre,Interior 1er  cinturón,108779
,,En el 1er  cinturón,231999
,,Entre 1er y 2º cinturón,364590
,,En el 2er  cinturón,208549
,,Entre  2º cinturón y M-30,407273
,,M-30,214097
,,Entre M-30 y M-40,311295
,,Exterior a M-40,26021
2024,Octubre,Interior 1er  cinturón,107700
,,En el 1er  cinturón,241170
,,Entre 1er y 2º cinturón,370692
,,En el 2er  cinturón,212452
,,Entre  2º cinturón y M-30,406830
,,M-30,220101
,,Entre M-30 y M-40,318366
,,Exterior a M-40,26986
2024,Noviembre,Interior 1er  cinturón,107699
,,En el 1er  cinturón,241911
,,Entre 1er y 2º cinturón,368576
,,En el 2er  cinturón,214551
,,Entre  2º cinturón y M-30,405138
,,M-30,222375
,,Entre M-30 y M-40,323074
,,Exterior a M-40,27005
2024,Diciembre,Interior 1er  cinturón,100120
,,En el 1er  cinturón,226367
,,Entre 1er y 2º cinturón,345883
,,En el 2er  cinturón,201681
,,Entre  2º cinturón y M-30,377847
,,M-30,208589
,,Entre M-30 y M-40,312498
,,Exterior a M-40,25921
2025,Enero,Interior 1er  cinturón,102316
,,En el 1er  cinturón,224960
,,Entre 1er y 2º cinturón,343956
,,En el 2er  cinturón,195619
,,Entre  2º cinturón y M-30,374313
,,M-30,205025
,,Entre M-30 y M-40,288720
,,Exterior a M-40,25439
2025,Febrero,Interior 1er  cinturón,103435
,,En el 1er  cinturón,240500
,,Entre 1er y 2º cinturón,360343
,,En el 2er  cinturón,208915
,,Entre  2º cinturón y M-30,396366
,,M-30,217972
,,Entre M-30 y M-40,300650
,,Exterior a M-40,25996
2025,Marzo,Interior 1er  cinturón,102976
,,En el 1er  cinturón,231990
,,Entre 1er y 2º cinturón,352279
,,En el 2er  cinturón,203849
,,Entre  2º cinturón y M-30,392616
,,M-30,213570
,,Entre M-30 y M-40,304189
,,Exterior a M-40,25816
