Año;Mes;Interior 1er  cinturón;En el 1er  cinturón;Entre 1er y 2º cinturón;En el 2er  cinturón;Entre  2º cinturón y M-30;M-30;Entre M-30 y M-40;M-40;Exterior a M-40
2024;;;;;;;;;;
2024;     Enero;103.019;231.233;350.079;196.928;411.976;205.079;311.273;;25.776
2024;     Febrero;105.578;239.172;357.444;203.746;427.609;218.266;316.499;;26.204
2024;     Marzo;107.578;239.024;352.766;194.529;408.308;201.427;303.242;;25.117
2024;     Abril;108.532;249.727;367.178;209.909;440.596;218.867;320.078;;26.273
2024;     Mayo;107.020;239.528;372.802;205.501;438.740;213.818;313.265;;26.782
2024;     Junio;108.746;235.710;384.247;209.560;438.064;218.942;319.435;;26.802
2024;     Julio;105.790;223.399;363.403;186.920;390.196;200.654;285.863;;23.889
2024;     Agosto;89.698;153.248;258.526;131.767;262.835;170.096;222.175;;18.842
2024;     Septiembre;108.779;231.999;364.590;208.549;407.273;214.097;311.295;;26.021
2024;     Octubre;107.700;241.170;370.692;212.452;406.830;220.101;318.366;;26.986
2024;     Noviembre;107.699;241.911;368.576;214.551;405.138;222.375;323.074;;27.005
2024;     Diciembre;100.120;226.367;345.883;201.681;377.847;208.589;312.498;;25.921
2025;;;;;;;;;;
2025;     Enero;102.316;224.960;343.956;195.619;374.313;205.025;288.720;;25.439
2025;     Febrero;103.435;240.500;360.343;208.915;396.366;217.972;300.650;;25.996
2025;     Marzo;102.976;231.990;352.279;203.849;392.616;213.570;304.189;;25.816
2025;     Abril;;;;;;;;;
2025;     Mayo;;;;;;;;;
2025;     Junio;;;;;;;;;
2025;     Julio;;;;;;;;;
2025;     Agosto;;;;;;;;;
2025;     Septiembre;;;;;;;;;
2025;     Octubre;;;;;;;;;
2025;     Noviembre;;;;;;;;;
2025;     Diciembre;;;;;;;;;
